,date,da_tb2,rt_tb2,daily_tb2_revenue_0.95
0,2022-01-01,47.79,85.18,45.400499999999994
1,2022-01-02,136.3,61.4,129.485
2,2022-01-03,150.37,70.63,142.8515
3,2022-01-04,50.67,48.06,48.1365
4,2022-01-05,62.57,28.59,59.4415
5,2022-01-06,77.21,59.25,73.34949999999999
6,2022-01-07,114.02,592.99,108.31899999999999
7,2022-01-08,58.55,184.5,55.622499999999995
8,2022-01-09,49.23,51.09,46.768499999999996
9,2022-01-10,97.34,92.15,92.473
10,2022-01-11,81.72,74.78,77.634
11,2022-01-12,81.71,37.32,77.62449999999998
12,2022-01-13,71.06,112.34,67.507
13,2022-01-14,61.39,38.62,58.320499999999996
14,2022-01-15,68.35,116.11,64.93249999999999
15,2022-01-16,90.21,41.59,85.69949999999999
16,2022-01-17,130.65,60.37,124.11749999999999
17,2022-01-18,52.95,68.32,50.3025
18,2022-01-19,41.75,33.62,39.6625
19,2022-01-20,132.35,72.53,125.73249999999999
20,2022-01-21,219.03,92.78,208.0785
21,2022-01-22,128.06,48.0,121.657
22,2022-01-23,41.52,25.2,39.444
23,2022-01-24,53.84,75.96,51.148
24,2022-01-25,47.58,44.2,45.20099999999999
25,2022-01-26,67.95,346.94,64.5525
26,2022-01-27,93.81,36.66,89.1195
27,2022-01-28,100.45,149.34,95.4275
28,2022-01-29,84.81,226.36,80.5695
29,2022-01-30,77.09,49.49,73.2355
30,2022-01-31,108.62,160.93,103.189
31,2022-02-01,97.44,48.92,92.568
32,2022-02-02,82.98,109.14,78.831
33,2022-02-03,211.86,99.09,201.267
34,2022-02-04,713.48,112.02,677.806
35,2022-02-05,190.43,123.32,180.9085
36,2022-02-06,119.77,70.02,113.7815
37,2022-02-07,99.77,69.99,94.7815
38,2022-02-08,70.27,111.9,66.75649999999999
39,2022-02-09,113.76,512.22,108.072
40,2022-02-10,107.88,69.21,102.48599999999999
41,2022-02-11,59.51,38.51,56.534499999999994
42,2022-02-12,109.96,106.64,104.46199999999999
43,2022-02-13,79.33,87.9,75.3635
44,2022-02-14,71.22,73.08,67.65899999999999
45,2022-02-15,43.44,42.36,41.267999999999994
46,2022-02-16,56.01,96.28,53.2095
47,2022-02-17,113.37,104.65,107.7015
48,2022-02-18,171.79,94.56,163.20049999999998
49,2022-02-19,85.64,52.71,81.35799999999999
50,2022-02-20,59.41,62.55,56.439499999999995
51,2022-02-21,71.42,120.57,67.849
52,2022-02-22,87.1,83.4,82.74499999999999
53,2022-02-23,118.38,1460.66,112.46099999999998
54,2022-02-24,129.75,6350.15,123.26249999999999
55,2022-02-25,299.75,50.16,284.7625
56,2022-02-26,121.14,27.23,115.083
57,2022-02-27,67.18,48.26,63.821000000000005
58,2022-02-28,145.37,39.43,138.1015
59,2022-03-01,132.09,87.12,125.4855
60,2022-03-02,97.58,139.16,92.701
61,2022-03-03,76.81,379.28,72.9695
62,2022-03-04,79.59,76.42,75.6105
63,2022-03-05,170.48,171.27,161.956
64,2022-03-06,100.93,73.69,95.8835
65,2022-03-07,155.0,132.98,147.25
66,2022-03-08,229.48,256.94,218.00599999999997
67,2022-03-09,378.35,294.81,359.4325
68,2022-03-10,118.84,72.51,112.898
69,2022-03-11,187.48,136.32,178.106
70,2022-03-12,248.98,152.98,236.53099999999998
71,2022-03-13,97.22,46.36,92.359
72,2022-03-14,132.92,44.02,126.27399999999999
73,2022-03-15,198.02,402.75,188.119
74,2022-03-16,68.44,174.49,65.018
75,2022-03-17,55.73,102.22,52.94349999999999
76,2022-03-18,239.96,167.66,227.962
77,2022-03-19,138.66,280.64,131.727
78,2022-03-20,56.35,55.33,53.5325
79,2022-03-21,119.88,159.73,113.886
80,2022-03-22,93.62,143.73,88.93900000000001
81,2022-03-23,195.25,71.56,185.48749999999998
82,2022-03-24,275.27,180.46,261.50649999999996
83,2022-03-25,192.36,82.33,182.742
84,2022-03-26,146.57,503.78,139.24149999999997
85,2022-03-27,139.3,90.05,132.335
86,2022-03-28,134.55,130.39,127.8225
87,2022-03-29,106.01,117.66,100.7095
88,2022-03-30,329.07,370.48,312.6165
89,2022-03-31,234.77,392.87,223.0315
90,2022-04-01,138.07,100.45,131.16649999999998
91,2022-04-02,167.69,170.11,159.3055
92,2022-04-03,128.06,67.72,121.657
93,2022-04-04,269.83,1394.0,256.33849999999995
94,2022-04-05,345.8,136.87,328.51
95,2022-04-06,230.03,63.72,218.52849999999998
96,2022-04-07,191.81,113.66,182.21949999999998
97,2022-04-08,213.02,244.27,202.369
98,2022-04-09,92.91,134.57,88.2645
99,2022-04-10,191.9,1446.29,182.305
100,2022-04-11,502.94,335.09,477.79299999999995
101,2022-04-12,130.76,59.01,124.22199999999998
102,2022-04-13,562.36,369.08,534.242
103,2022-04-14,134.1,69.88,127.39499999999998
104,2022-04-15,186.38,84.6,177.06099999999998
105,2022-04-16,196.37,102.39,186.5515
106,2022-04-17,192.44,124.51,182.81799999999998
107,2022-04-18,131.63,90.99,125.04849999999999
108,2022-04-19,85.79,97.98,81.5005
109,2022-04-20,311.2,379.28,295.64
110,2022-04-21,96.81,103.98,91.9695
111,2022-04-22,54.98,617.27,52.230999999999995
112,2022-04-23,106.57,59.37,101.24149999999999
113,2022-04-24,139.88,70.74,132.886
114,2022-04-25,91.33,78.2,86.7635
115,2022-04-26,83.34,115.88,79.173
116,2022-04-27,72.58,103.76,68.951
117,2022-04-28,89.79,123.44,85.3005
118,2022-04-29,93.56,66.08,88.882
119,2022-04-30,195.49,145.47,185.7155
120,2022-05-01,49.72,140.33,47.233999999999995
121,2022-05-02,126.45,500.29,120.1275
122,2022-05-03,110.47,247.5,104.9465
123,2022-05-04,75.19,74.01,71.4305
124,2022-05-05,404.88,254.27,384.63599999999997
125,2022-05-06,728.53,103.35,692.1034999999999
126,2022-05-07,171.02,81.8,162.469
127,2022-05-08,138.11,122.8,131.2045
128,2022-05-09,150.49,189.55,142.9655
129,2022-05-10,99.01,183.68,94.0595
130,2022-05-11,127.63,112.95,121.24849999999999
131,2022-05-12,316.21,550.62,300.3995
132,2022-05-13,998.1,7192.65,948.1949999999999
133,2022-05-14,1229.39,162.53,1167.9205
134,2022-05-15,2197.03,167.93,2087.1785
135,2022-05-16,610.46,104.73,579.937
136,2022-05-17,100.37,110.2,95.3515
137,2022-05-18,336.62,279.5,319.789
138,2022-05-19,115.81,118.99,110.0195
139,2022-05-20,215.87,742.3,205.07649999999998
140,2022-05-21,244.81,99.97,232.5695
141,2022-05-22,128.11,200.82,121.70450000000001
142,2022-05-23,39.34,49.39,37.373000000000005
143,2022-05-24,77.05,494.03,73.19749999999999
144,2022-05-25,247.1,306.32,234.74499999999998
145,2022-05-26,186.4,414.9,177.07999999999998
146,2022-05-27,278.14,268.84,264.23299999999995
147,2022-05-28,201.87,113.14,191.7765
148,2022-05-29,147.26,149.36,139.897
149,2022-05-30,159.35,127.08,151.3825
150,2022-05-31,175.93,84.73,167.1335
151,2022-06-01,204.15,84.31,193.9425
152,2022-06-02,85.39,93.18,81.12049999999999
153,2022-06-03,86.7,72.4,82.365
154,2022-06-04,78.6,73.7,74.66999999999999
155,2022-06-05,159.53,159.34,151.55349999999999
156,2022-06-06,271.97,187.51,258.3715
157,2022-06-07,262.37,171.9,249.2515
158,2022-06-08,182.04,163.28,172.938
159,2022-06-09,185.95,58.15,176.65249999999997
160,2022-06-10,573.02,112.06,544.3689999999999
161,2022-06-11,320.46,128.92,304.43699999999995
162,2022-06-12,185.56,131.77,176.28199999999998
163,2022-06-13,167.1,89.97,158.74499999999998
164,2022-06-14,143.56,66.29,136.382
165,2022-06-15,146.48,78.37,139.15599999999998
166,2022-06-16,125.73,81.29,119.4435
167,2022-06-17,281.8,125.24,267.71
168,2022-06-18,141.85,63.45,134.7575
169,2022-06-19,96.26,55.84,91.447
170,2022-06-20,96.75,187.84,91.9125
171,2022-06-21,150.7,137.18,143.165
172,2022-06-22,458.26,186.58,435.347
173,2022-06-23,1047.25,158.76,994.8874999999999
174,2022-06-24,447.58,136.56,425.20099999999996
175,2022-06-25,271.04,176.57,257.488
176,2022-06-26,165.99,85.82,157.69050000000001
177,2022-06-27,141.62,152.62,134.539
178,2022-06-28,141.97,47.28,134.8715
179,2022-06-29,138.86,117.17,131.917
180,2022-06-30,248.29,222.45,235.8755
181,2022-07-01,203.11,150.97,192.9545
182,2022-07-02,161.56,95.7,153.482
183,2022-07-03,104.11,54.61,98.9045
184,2022-07-04,129.07,83.12,122.61649999999999
185,2022-07-05,143.98,230.86,136.78099999999998
186,2022-07-06,131.2,112.02,124.63999999999999
187,2022-07-07,523.36,266.33,497.192
188,2022-07-08,928.4,2338.2,881.9799999999999
189,2022-07-09,646.15,4416.49,613.8425
190,2022-07-10,1110.73,1392.36,1055.1934999999999
191,2022-07-11,3954.34,850.8,3756.623
192,2022-07-12,518.22,1692.72,492.309
193,2022-07-13,1551.98,10492.17,1474.3809999999999
194,2022-07-14,1289.42,62.35,1224.949
195,2022-07-15,864.76,85.79,821.5219999999999
196,2022-07-16,632.96,181.08,601.312
197,2022-07-17,800.42,3369.66,760.3989999999999
198,2022-07-18,2818.35,2432.86,2677.4325
199,2022-07-19,1226.08,289.06,1164.7759999999998
200,2022-07-20,1233.25,2698.71,1171.5874999999999
201,2022-07-21,264.76,140.23,251.522
202,2022-07-22,349.0,53.33,331.55
203,2022-07-23,203.87,90.02,193.6765
204,2022-07-24,164.27,187.79,156.0565
205,2022-07-25,286.97,145.3,272.6215
206,2022-07-26,287.63,193.35,273.2485
207,2022-07-27,290.9,144.04,276.35499999999996
208,2022-07-28,349.3,263.77,331.835
209,2022-07-29,290.19,85.96,275.6805
210,2022-07-30,211.02,92.75,200.469
211,2022-07-31,185.19,147.96,175.9305
212,2022-08-01,197.79,97.76,187.9005
213,2022-08-02,142.56,492.16,135.432
214,2022-08-03,251.1,662.06,238.545
215,2022-08-04,659.3,285.42,626.3349999999999
216,2022-08-05,344.52,163.79,327.294
217,2022-08-06,124.24,73.87,118.02799999999999
218,2022-08-07,169.76,215.23,161.272
219,2022-08-08,409.53,794.48,389.05349999999993
220,2022-08-09,505.54,1116.26,480.263
221,2022-08-10,764.72,88.32,726.484
222,2022-08-11,450.77,533.41,428.2315
223,2022-08-12,306.57,392.9,291.2415
224,2022-08-13,293.98,316.4,279.281
225,2022-08-14,213.84,116.62,203.148
226,2022-08-15,202.66,93.34,192.527
227,2022-08-16,613.13,421.19,582.4735
228,2022-08-17,1450.83,768.46,1378.2884999999999
229,2022-08-18,107.36,65.57,101.99199999999999
230,2022-08-19,130.36,62.64,123.84200000000001
231,2022-08-20,122.04,59.48,115.938
232,2022-08-21,88.4,140.85,83.98
233,2022-08-22,81.95,376.05,77.85249999999999
234,2022-08-23,106.1,337.98,100.79499999999999
235,2022-08-24,122.94,66.41,116.79299999999999
236,2022-08-25,248.39,392.41,235.9705
237,2022-08-26,209.73,236.07,199.24349999999998
238,2022-08-27,150.13,97.19,142.62349999999998
239,2022-08-28,152.4,242.33,144.78
240,2022-08-29,193.47,80.57,183.79649999999998
241,2022-08-30,115.09,55.7,109.3355
242,2022-08-31,149.3,129.31,141.835
243,2022-09-01,132.97,96.91,126.32149999999999
244,2022-09-02,177.64,84.52,168.75799999999998
245,2022-09-03,74.12,28.63,70.414
246,2022-09-04,85.05,64.38,80.7975
247,2022-09-05,119.43,102.0,113.4585
248,2022-09-06,175.77,867.19,166.9815
249,2022-09-07,127.83,98.84,121.43849999999999
250,2022-09-08,224.89,86.5,213.64549999999997
251,2022-09-09,145.65,108.73,138.3675
252,2022-09-10,124.6,62.98,118.36999999999999
253,2022-09-11,147.42,368.94,140.04899999999998
254,2022-09-12,157.24,131.18,149.37800000000001
255,2022-09-13,132.46,82.31,125.837
256,2022-09-14,87.9,58.78,83.505
257,2022-09-15,93.29,86.44,88.6255
258,2022-09-16,111.55,75.67,105.9725
259,2022-09-17,84.12,68.18,79.914
260,2022-09-18,146.66,119.3,139.327
261,2022-09-19,255.27,224.21,242.5065
262,2022-09-20,244.64,117.08,232.408
263,2022-09-21,359.27,124.44,341.30649999999997
264,2022-09-22,480.08,94.67,456.07599999999996
265,2022-09-23,148.87,49.24,141.4265
266,2022-09-24,120.03,146.45,114.0285
267,2022-09-25,102.81,100.54,97.6695
268,2022-09-26,124.0,184.03,117.8
269,2022-09-27,118.23,196.29,112.3185
270,2022-09-28,134.33,95.16,127.6135
271,2022-09-29,128.2,79.6,121.78999999999998
272,2022-09-30,57.82,60.65,54.928999999999995
273,2022-10-01,66.55,116.84,63.2225
274,2022-10-02,70.12,74.74,66.614
275,2022-10-03,142.97,91.25,135.8215
276,2022-10-04,137.01,114.04,130.15949999999998
277,2022-10-05,143.31,168.3,136.1445
278,2022-10-06,175.57,536.84,166.79149999999998
279,2022-10-07,126.51,44.28,120.1845
280,2022-10-08,84.15,76.29,79.9425
281,2022-10-09,124.06,39.9,117.857
282,2022-10-10,100.12,52.5,95.114
283,2022-10-11,87.7,43.88,83.315
284,2022-10-12,522.89,1587.2,496.74549999999994
285,2022-10-13,168.88,555.3,160.43599999999998
286,2022-10-14,124.6,67.32,118.36999999999999
287,2022-10-15,171.09,666.35,162.53549999999998
288,2022-10-16,47.69,163.68,45.305499999999995
289,2022-10-17,88.93,53.64,84.4835
290,2022-10-18,130.08,59.36,123.57600000000001
291,2022-10-19,140.11,91.25,133.1045
292,2022-10-20,213.36,429.28,202.692
293,2022-10-21,80.43,61.48,76.4085
294,2022-10-22,96.04,80.53,91.238
295,2022-10-23,78.62,68.19,74.68900000000001
296,2022-10-24,54.19,133.86,51.48049999999999
297,2022-10-25,301.39,221.38,286.3205
298,2022-10-26,66.78,80.94,63.440999999999995
299,2022-10-27,75.76,86.41,71.97200000000001
300,2022-10-28,53.11,237.76,50.454499999999996
301,2022-10-29,172.92,135.18,164.27399999999997
302,2022-10-30,259.02,73.44,246.06899999999996
303,2022-10-31,124.51,63.98,118.2845
304,2022-11-01,60.88,36.65,57.836
305,2022-11-02,57.99,47.44,55.0905
306,2022-11-03,61.34,36.16,58.273
307,2022-11-04,68.27,290.72,64.8565
308,2022-11-05,46.3,49.63,43.98499999999999
309,2022-11-06,154.51,801.22,146.78449999999998
310,2022-11-07,215.03,138.23,204.27849999999998
311,2022-11-08,144.44,25.22,137.218
312,2022-11-09,96.69,59.88,91.85549999999999
313,2022-11-10,696.08,209.77,661.276
314,2022-11-11,91.01,79.04,86.4595
315,2022-11-12,131.92,66.96,125.32399999999998
316,2022-11-13,50.93,68.46,48.3835
317,2022-11-14,93.03,140.09,88.3785
318,2022-11-15,273.72,145.65,260.034
319,2022-11-16,191.31,396.72,181.7445
320,2022-11-17,138.38,82.64,131.46099999999998
321,2022-11-18,84.04,79.3,79.83800000000001
322,2022-11-19,172.21,87.35,163.5995
323,2022-11-20,75.53,139.0,71.7535
324,2022-11-21,128.09,77.59,121.68549999999999
325,2022-11-22,69.09,47.51,65.6355
326,2022-11-23,53.54,79.79,50.863
327,2022-11-24,46.03,206.27,43.7285
328,2022-11-25,86.72,97.03,82.384
329,2022-11-26,78.16,175.92,74.252
330,2022-11-27,139.91,178.45,132.9145
331,2022-11-28,91.69,82.24,87.10549999999999
332,2022-11-29,129.08,119.07,122.626
333,2022-11-30,86.3,103.13,81.985
334,2022-12-01,114.72,197.96,108.984
335,2022-12-02,46.43,316.02,44.1085
336,2022-12-03,137.48,84.8,130.606
337,2022-12-04,72.92,56.51,69.274
338,2022-12-05,80.93,36.65,76.8835
339,2022-12-06,99.28,97.24,94.316
340,2022-12-07,93.33,154.98,88.6635
341,2022-12-08,144.88,87.65,137.636
342,2022-12-09,54.83,104.61,52.088499999999996
343,2022-12-10,53.6,94.45,50.92
344,2022-12-11,47.65,51.14,45.2675
345,2022-12-12,47.1,25.83,44.745
346,2022-12-13,83.83,219.02,79.6385
347,2022-12-14,86.4,106.24,82.08
348,2022-12-15,94.05,77.32,89.3475
349,2022-12-16,69.64,87.4,66.158
350,2022-12-17,59.91,226.19,56.9145
351,2022-12-18,75.81,66.88,72.0195
352,2022-12-19,124.81,106.16,118.56949999999999
353,2022-12-20,65.95,67.92,62.652499999999996
354,2022-12-21,75.53,167.52,71.7535
355,2022-12-22,167.35,97.45,158.9825
356,2022-12-23,916.21,6205.38,870.3995
357,2022-12-24,4821.0,163.64,4579.95
358,2022-12-25,128.84,160.17,122.398
359,2022-12-26,97.97,112.02,93.0715
360,2022-12-27,104.86,113.89,99.61699999999999
361,2022-12-28,43.37,58.04,41.201499999999996
362,2022-12-29,64.27,88.41,61.05649999999999
363,2022-12-30,55.32,67.37,52.553999999999995
364,2022-12-31,23.96,74.24,22.762
